name,lat,lng,address,phone,type
ACTREC BLOOD BANK,19.0435,73.0645,"Sector 22, Kharghar",022-27405073,blood_bank
ANVIKSHA PATHOLOGICAL LAB,19.0855,72.9082,"Ghatkopar (E)",022-21026290,blood_bank
ARPAN BLOOD BANK,19.1452,72.9361,"Bhandup (W)",022-25951044,blood_bank
ASHIRWAD BLOOD BANK,19.0189,72.8441,"Dadar TT",022-24154826,blood_bank
ASIAN HEART INSTITUTE,19.0655,72.8601,"BKC, Bandra",022-66986570,blood_bank
B. D. PETIT PARSEE GENERAL,18.9645,72.8052,"Cumballa Hill",022-23685350,blood_bank
BARC HOSPITAL BLOOD BANK,19.0425,72.9255,"Anushakti Nagar",022-25598353,blood_bank
HOLY FAMILY HOSPITAL,19.0553,72.8299,"Bandra",022-30610300,blood_bank
BOMBAY HOSPITAL TRUST,18.9401,72.8282,"Marine Lines",022-22067676,blood_bank
BORIVALI BLOOD BANK,19.2291,72.8574,"Borivali (W)",022-28936203,blood_bank
BREACH CANDY HOSPITAL,18.9718,72.8051,"Bhulabhai Desai Rd",022-23667811,blood_bank
BSES M.G. HOSPITAL,19.1195,72.8465,"Andheri (W)",022-26283557,blood_bank
CAMA AND ALBLESS HOSPITAL,18.9431,72.8322,"CST, Mumbai",022-22611654,blood_bank
DR. L. H. HIRANANDANI,19.1179,72.9102,"Powai",022-25763355,blood_bank
ESIC HOSPITAL BLOOD BANK,19.1175,72.8755,"Andheri (E)",022-28321361,blood_bank
FORTIS HOSPITAL,19.1678,72.9515,"Mulund",022-67994370,blood_bank
G.T. HOSPITAL BLOOD BANK,18.9439,72.8339,"Fort",022-22621468,blood_bank
DR. BABASAHEB AMBEDKAR MUN.,19.2055,72.8525,"Kandivali (W)",022-28647003,blood_bank
HEMATOLOGY LABORATORY,18.9555,72.8195,"Mama Parmanand Marg",022-23691297,blood_bank
P. D. HINDUJA NATIONAL,19.0335,72.8385,"Mahim",022-24451515,blood_bank
HOLY SPIRIT HOSPITAL,19.1235,72.8688,"Andheri (E)",022-28200353,blood_bank
INDIAN RED CROSS SOCIETY,18.9325,72.8355,"Town Hall Compound",022-22663195,blood_bank
INS ASVINI BLOOD BANK,18.9055,72.8155,"Colaba",022-22143764,blood_bank
JASLOK HOSPITAL,18.9715,72.8095,"Dr. G. Deshmukh Marg",022-66573434,blood_bank
K. B. BHABHA MUNICIPAL,19.0625,72.8315,"Bandra (W)",022-26422775,blood_bank
K. J. SOMAIYA MEDICAL,19.0465,72.8715,"Sion (W)",022-24024671,blood_bank
KEM HOSPITAL BLOOD BANK,19.0021,72.8423,"Parel",022-24135189,blood_bank
KOHINOOR HOSPITAL,19.0754,72.8895,"Kurla (W)",022-67556737,blood_bank
KOKILABEN DHIRUBHAI AMBANI,19.1315,72.8255,"Andheri (W)",022-30900900,blood_bank
LILAVATI HOSPITAL,19.0505,72.8265,"Bandra Reclamation",022-26568214,blood_bank
LTMG MUNICIPAL (SION),19.0355,72.8595,"Sion (W)",022-24021771,blood_bank
MANAS SEROLOGICAL INST.,19.1355,72.8455,"Jogeshwari (W)",022-26784546,blood_bank
MASINA HOSPITAL,18.9755,72.8355,"Byculla (E)",022-23714889,blood_bank
WADIA MATERNITY HOSPITAL,19.0025,72.8425,"Parel",022-24146964,blood_bank
NAIR HOSPITAL BLOOD BANK,18.9723,72.8211,"Mumbai Central",022-23027644,blood_bank
NANAVATI HOSPITAL,19.1026,72.8359,"Vile Parle (W)",022-26267561,blood_bank
NAVJIVAN BLOOD BANK,19.2315,72.8525,"Borivali (W)",022-28935133,blood_bank
MEENATAI THACKERAY,19.1636,72.8412,"Goregaon (W)",022-28797586,blood_bank
PRINCE ALY KHAN HOSPITAL,18.9685,72.8395,"Mazgaon",022-23777934,blood_bank
DR. R. N. COOPER HOSPITAL,19.1075,72.8365,"Vile Parle (W)",022-26242609,blood_bank
RAJAWADI HOSPITAL,19.0825,72.9035,"Ghatkopar (E)",022-21025611,blood_bank
S. L. RAHEJA HOSPITAL,19.0415,72.8435,"Mahim (W)",022-66529999,blood_bank
SAIFEE HOSPITAL TRUST,18.9515,72.8195,"Charni Road",022-67570111,blood_bank
SARVODAYA SAMARPAN,19.0894,72.9105,"Ghatkopar (W)",022-25111313,blood_bank
SEVENHILLS HEALTHCARE,19.1155,72.8755,"Andheri (E)",022-67676719,blood_bank
SHUSHRUSHA COOPERATIVE,19.0255,72.8385,"Dadar",022-24476158,blood_bank
SIR J. J. MAHANAGAR RAKTAPEDHI,18.9634,72.8315,"Byculla",022-23735585,blood_bank
SIR J. J. HOSPITAL,18.9630,72.8320,"Byculla",022-23739400,blood_bank
ST. GEORGE'S HOSPITAL,18.9415,72.8355,"Fort",022-22621420,blood_bank
SUBURBAN HI-TECH,19.1855,72.8615,"Malad (East)",022-28714060,blood_bank
S. R. MEHTA CARDIAC INST.,19.0385,72.8585,"Sion (E)",022-24035455,blood_bank
TATA MEMORIAL HOSPITAL,19.0035,72.8435,"Parel",022-24127096,blood_bank
V. N. DESAI HOSPITAL,19.0785,72.8455,"Santacruz (E)",022-26183018,blood_bank
GLOBAL HOSPITAL,19.0015,72.8415,"Parel",022-67670342,blood_bank
SIR H. N. HOSPITAL,18.9585,72.8215,"Charni Road",022-61305225,blood_bank
MAHATMA GANDHI SEVA MANDIR,19.0615,72.8355,"Bandra (W)",022-26431893,blood_bank
SANT NIRANKARI BLOOD BANK,19.1025,72.8555,"Vile Parle (E)",022-26195539,blood_bank
PALLAVI BLOOD BANK,19.0544,72.9312,"Govandi (E)",022-25552020,blood_bank
